"Dataset","Preprocessing","Var_Selection","Model_Method","Best_Depth","Best_Eta","Best_Nrounds","R2","RMSE","MAE"
"Dataset 1 with Ref 4","2nd_Der","VIP","XGBoost",3,0.05,100,0.50514643378346,0.128444679927549,0.0929492825507609
"Dataset 1 with Ref 4","2nd_Der","GA","XGBoost",3,0.05,100,0.427809991678636,0.138117243915979,0.101501083187999
"Dataset 1 with Ref 4","2nd_Der","PCA","XGBoost",3,0.05,100,0.321079228681335,0.150448311038182,0.10834642223731
"Dataset 1 with Ref 4","2nd_Der","Kernel_PCA","XGBoost",3,0.05,100,0.632993128503547,0.110615214664175,0.0794198535997627
"Dataset 1 with Ref 4","EMSC","None","XGBoost",3,0.05,100,0.585160178289666,0.117602888321774,0.0804257624409288
"Dataset 1 with Ref 4","EMSC","VIP","XGBoost",3,0.05,100,0.625396080325183,0.11175421887109,0.0762553736514393
"Dataset 1 with Ref 4","EMSC","GA","XGBoost",3,0.05,100,0.588857326795603,0.117077663391229,0.0815428907920749
"Dataset 1 with Ref 4","EMSC","PCA","XGBoost",3,0.05,100,0.529239479958252,0.125278857934668,0.0899466349067329
"Dataset 1 with Ref 4","EMSC","Kernel_PCA","XGBoost",3,0.1,100,0.642230601846313,0.109214264116788,0.0753526409953468
"Dataset 1 with Ref 4","RNV","None","XGBoost",3,0.05,100,0.146383247502784,0.168697727954684,0.122038036721613
"Dataset 1 with Ref 4","RNV","VIP","XGBoost",3,0.05,100,0.376715233928445,0.144152117008591,0.104379510227541
"Dataset 1 with Ref 4","RNV","GA","XGBoost",3,0.05,100,0.203177347509058,0.162989116126905,0.115176663895804
"Dataset 1 with Ref 4","RNV","PCA","XGBoost",6,0.1,100,0.275741450675065,0.155390542845705,0.109931002657368
"Dataset 1 with Ref 4","RNV","Kernel_PCA","XGBoost",3,0.05,100,0.259241088345772,0.157150660658365,0.11494146980982
"Dataset 2 with Ref 1","Raw","None","XGBoost",3,0.05,100,0.0742275231439588,1.77620398492192,1.14441830648374
"Dataset 2 with Ref 1","Raw","VIP","XGBoost",3,0.05,100,0.167821335988082,1.68402678937663,1.0410701964781
"Dataset 2 with Ref 1","Raw","GA","XGBoost",3,0.1,100,0.129079084361075,1.72278097756501,1.10364564764047
