"Dataset","Preprocessing","Var_Selection","ncomp","R2_CV","RMSECV","RPD_CV"
"Dataset 1 with Ref 4","2nd_Der","SR",1,0.161427301195026,0.136893595264027,1.33616653774667
"Dataset 1 with Ref 4","2nd_Der","sMC",3,0.168415204327061,0.136322028607697,1.3417687742163
"Dataset 1 with Ref 4","2nd_Der","UVE",2,0.138631420395602,0.138741786695407,1.3183673468556
"Dataset 1 with Ref 4","2nd_Der","GA",3,0.155587725716302,0.137369411856933,1.33153835887517
"Dataset 1 with Ref 4","EMSC","None",6,0.295863752854467,0.125441465956116,1.45815133639795
"Dataset 1 with Ref 4","EMSC","VIP",8,0.380337586130036,0.117676663771418,1.55436630646607
"Dataset 1 with Ref 4","EMSC","SR",1,0.310056026592332,0.124170858220029,1.47307221553958
"Dataset 1 with Ref 4","EMSC","sMC",7,0.524281565814404,0.103106907319364,1.77400957878675
"Dataset 1 with Ref 4","EMSC","UVE",3,0.413746018803861,0.114460508919519,1.59804148129588
"Dataset 1 with Ref 4","EMSC","GA",10,0.477569460789437,0.108050566484313,1.69284296394858
"Dataset 1 with Ref 4","RNV","None",3,0.220130877420616,0.132015107251319,1.385543253587
"Dataset 1 with Ref 4","RNV","VIP",2,0.201339253196534,0.133596149164711,1.36914605972748
"Dataset 1 with Ref 4","RNV","SR",8,0.073839022807321,0.143865284643264,1.27141611457684
"Dataset 1 with Ref 4","RNV","sMC",3,0.200554143780034,0.13366179770874,1.36847359798504
"Dataset 1 with Ref 4","RNV","UVE",3,0.193854556227717,0.134220691495149,1.36277528588235
"Dataset 1 with Ref 4","RNV","GA",5,0.0342684813656223,0.146906486805405,1.24509574220449
"Dataset 2 with Ref 1","Raw","None",2,0.12076160821881,1.59105322603431,1.1629950607676
"Dataset 2 with Ref 1","Raw","VIP",3,0.115720426882061,1.59560792007039,1.15967526860523
"Dataset 2 with Ref 1","Raw","SR",1,0.00181894039099062,1.69525896347766,1.09150701052798
"Dataset 2 with Ref 1","Raw","sMC",2,0.139620340072504,1.5738975316169,1.17567186308204
"Dataset 2 with Ref 1","Raw","UVE",2,0.12772409333233,1.58474111422714,1.16762733463798
"Dataset 2 with Ref 1","Raw","GA",2,0.128859773437025,1.58370913275658,1.16838818759321
"Dataset 2 with Ref 1","SNV","None",3,0.39681952534317,1.31781675278025,1.40413076354693
"Dataset 2 with Ref 1","SNV","VIP",2,0.385151474589986,1.33050176430576,1.39074377271628
"Dataset 2 with Ref 1","SNV","SR",3,0.42163568412782,1.29042310893138,1.4339382412553
"Dataset 2 with Ref 1","SNV","sMC",2,0.430400943856454,1.28060743037033,1.44492917924204
"Dataset 2 with Ref 1","SNV","UVE",3,0.421143131556803,1.29097247369667,1.43332803835679
"Dataset 2 with Ref 1","SNV","GA",5,0.393360503234402,1.32158995252128,1.40012190601644
"Dataset 2 with Ref 1","1st_Der","None",2,0.13944159603454,1.57406101188232,1.1755497590805
"Dataset 2 with Ref 1","1st_Der","VIP",2,0.114832511045692,1.59640880370183,1.15909348470486
"Dataset 2 with Ref 1","1st_Der","SR",2,0.0943667845638253,1.61475842124881,1.14592190320657
"Dataset 2 with Ref 1","1st_Der","sMC",2,0.0988012493249204,1.61080020933705,1.14873777180463
"Dataset 2 with Ref 1","1st_Der","UVE",1,0.0875813658485176,1.62079638727621,1.14165299097556
"Dataset 2 with Ref 1","1st_Der","GA",2,-0.0608710602702185,1.74768310566204,1.05876576668933
"Dataset 2 with Ref 1","2nd_Der","None",2,0.0870471371237899,1.62127081274677,1.1413189139952
"Dataset 2 with Ref 1","2nd_Der","VIP",2,0.114183005584853,1.59699439123887,1.15866846712018
"Dataset 2 with Ref 1","2nd_Der","SR",1,0.0769034097701439,1.63025282051597,1.13503072652905
"Dataset 2 with Ref 1","2nd_Der","sMC",2,0.11846424047797,1.59313050667145,1.16147863313616
"Dataset 2 with Ref 1","2nd_Der","UVE",2,0.0814475530088155,1.62623523345227,1.13783480103807
"Dataset 2 with Ref 1","2nd_Der","GA",2,0.100740409726267,1.60906625104256,1.14997567197581
"Dataset 2 with Ref 1","EMSC","None",1,-0.0356030140700345,1.72674433454035,1.07160452551236
"Dataset 2 with Ref 1","EMSC","VIP",1,-0.00486576202574418,1.70092596750931,1.08787041802049
"Dataset 2 with Ref 1","EMSC","SR",1,-0.0361310771795891,1.72718451951587,1.07133141965337
"Dataset 2 with Ref 1","EMSC","sMC",3,-0.740372343710361,2.23847616032208,0.826627987420705
"Dataset 2 with Ref 1","EMSC","UVE",1,-0.0100438989729799,1.70530282584426,1.0850782718783
"Dataset 2 with Ref 1","EMSC","GA",1,-0.00994565207443743,1.70521988648477,1.08513104847185
"Dataset 2 with Ref 1","RNV","None",2,0.0873259750417789,1.62102320615064,1.14149324715115
"Dataset 2 with Ref 1","RNV","VIP",2,0.0812664790454701,1.62639551518105,1.13772266710308
"Dataset 2 with Ref 1","RNV","SR",1,0.0283489054532615,1.67257868912309,1.10630791563319
"Dataset 2 with Ref 1","RNV","sMC",2,0.110918974430382,1.59993396366895,1.15653963558157
"Dataset 2 with Ref 1","RNV","UVE",2,0.112927039940203,1.59812614849256,1.15784792398376
"Dataset 2 with Ref 1","RNV","GA",2,0.12099445939869,1.5908425305299,1.16314909099137
"Dataset 2 with Ref 2","Raw","None",3,0.0395720999095627,1.68968532296818,1.09148057759309
"Dataset 2 with Ref 2","Raw","VIP",2,0.0579763636729563,1.6734176595431,1.10209110185165
"Dataset 2 with Ref 2","Raw","SR",1,-0.0389799848071566,1.75742596470477,1.04940905011249
"Dataset 2 with Ref 2","Raw","sMC",1,-0.10383708981394,1.81144828204589,1.01811281643709
"Dataset 2 with Ref 2","Raw","UVE",3,-0.00903663756872963,1.73191636383633,1.06486592007174
"Dataset 2 with Ref 2","Raw","GA",1,-0.0186314534774703,1.74013118056305,1.05983889770145
"Dataset 2 with Ref 2","SNV","None",2,0.292394128115998,1.45033778611466,1.27160633193216
"Dataset 2 with Ref 2","SNV","VIP",3,0.201783162686933,1.54040134823894,1.19725856795199
"Dataset 2 with Ref 2","SNV","SR",8,0.219009030960977,1.52368942661187,1.21039017535537
"Dataset 2 with Ref 2","SNV","sMC",3,0.3196502223878,1.42213089538513,1.29682768178974
"Dataset 2 with Ref 2","SNV","UVE",1,0.259641190150051,1.48352398489312,1.24316069780074
"Dataset 2 with Ref 2","SNV","GA",1,0.31888222559563,1.42293333844581,1.29609635422433
"Dataset 2 with Ref 2","1st_Der","None",1,0.0524632643040919,1.67830727095701,1.09888024927177
"Dataset 2 with Ref 2","1st_Der","VIP",1,-0.0114609537247199,1.73399567083508,1.06358899464592
"Dataset 2 with Ref 2","1st_Der","SR",1,0.040106003529422,1.68921560810518,1.09178408215906
"Dataset 2 with Ref 2","1st_Der","sMC",1,0.0422606985300713,1.68731863339322,1.09301152477351
"Dataset 2 with Ref 2","1st_Der","UVE",2,0.0650763723494867,1.66709947842941,1.106267943891
"Dataset 2 with Ref 2","1st_Der","GA",1,0.0267853869475859,1.70089599499242,1.08428658641888
"Dataset 2 with Ref 2","2nd_Der","None",1,0.0757710420701352,1.65753700798307,1.11265009672876
"Dataset 2 with Ref 2","2nd_Der","VIP",1,0.0751483838694961,1.65809525993526,1.11227548671473
